"filename", "language", "PHP", "comment", "blank", "total"
"c:\laragon\www\commerce-app\app\Http\Controllers\AdminController.php", "PHP", 293, 22, 62, 377
"c:\laragon\www\commerce-app\app\Http\Controllers\AdminLoginController.php", "PHP", 24, 5, 7, 36
"c:\laragon\www\commerce-app\app\Http\Controllers\ChatbotController.php", "PHP", 468, 13, 79, 560
"c:\laragon\www\commerce-app\app\Http\Controllers\OrderController.php", "PHP", -3, 1, 0, -2
"c:\laragon\www\commerce-app\app\Http\Controllers\VendorController.php", "PHP", 327, 9, 76, 412
"c:\laragon\www\commerce-app\app\Http\Controllers\VendorDashboardController.php", "PHP", 4, 6, 4, 14
"c:\laragon\www\commerce-app\app\Http\Controllers\VendorLoginController.php", "PHP", 19, 3, 5, 27
"c:\laragon\www\commerce-app\app\Http\Controllers\VendorPasswordController.php", "PHP", 93, 8, 30, 131
"c:\laragon\www\commerce-app\app\Http\Kernel.php", "PHP", -2, -8, -1, -11
"c:\laragon\www\commerce-app\app\Http\Middleware\AdminMiddleware.php", "PHP", 25, 4, 9, 38
"c:\laragon\www\commerce-app\app\Http\Middleware\VendorMiddleware.php", "PHP", 8, 1, 3, 12
"c:\laragon\www\commerce-app\app\Models\Admin.php", "PHP", 5, 0, 1, 6
"c:\laragon\www\commerce-app\app\Models\Complaint.php", "PHP", 3, 0, 1, 4
"c:\laragon\www\commerce-app\app\Models\Otp.php", "PHP", 16, 0, 6, 22
"c:\laragon\www\commerce-app\app\Models\Product.php", "PHP", 10, 1, 3, 14
"c:\laragon\www\commerce-app\database\migrations\2023_04_28_create_admins_table.php", "PHP", 20, 0, 4, 24
"c:\laragon\www\commerce-app\database\migrations\2024_01_01_000000_add_role_to_admins_table.php", "PHP", 19, 0, 4, 23
"c:\laragon\www\commerce-app\database\migrations\2024_01_15_000000_add_name_to_admins_table.php", "PHP", 23, 1, 4, 28
"c:\laragon\www\commerce-app\database\migrations\2024_01_15_000000_add_role_to_admins_table.php", "PHP", 23, 1, 4, 28
"c:\laragon\www\commerce-app\database\migrations\2025_06_15_062052_create_complaints_table.php", "PHP", -18, -6, -4, -28
"c:\laragon\www\commerce-app\database\seeders\AdminSeeder.php", "PHP", 27, 2, 5, 34
"c:\laragon\www\commerce-app\resources\views\admin\admins\create.blade.php", "PHP", 196, 1, 12, 209
"c:\laragon\www\commerce-app\resources\views\admin\admins\edit.blade.php", "PHP", 204, 1, 13, 218
"c:\laragon\www\commerce-app\resources\views\admin\admins\index.blade.php", "PHP", 264, 1, 17, 282
"c:\laragon\www\commerce-app\resources\views\admin\analytics.blade.php", "PHP", 317, 3, 26, 346
"c:\laragon\www\commerce-app\resources\views\admin\dashboard.blade.php", "PHP", 449, 1, 56, 506
"c:\laragon\www\commerce-app\resources\views\admin\products\edit.blade.php", "PHP", 442, 2, 54, 498
"c:\laragon\www\commerce-app\resources\views\admin\products\index.blade.php", "PHP", 457, 8, 39, 504
"c:\laragon\www\commerce-app\resources\views\admin\users\create.blade.php", "PHP", 180, 1, 11, 192
"c:\laragon\www\commerce-app\resources\views\admin\users\edit.blade.php", "PHP", 279, 0, 30, 309
"c:\laragon\www\commerce-app\resources\views\admin\users\index.blade.php", "PHP", 299, 1, 34, 334
"c:\laragon\www\commerce-app\resources\views\admin\vendors\index.blade.php", "PHP", 418, 1, 49, 468
"c:\laragon\www\commerce-app\resources\views\auth\admin-login.blade.php", "PHP", -59, -1, -8, -68
"c:\laragon\www\commerce-app\resources\views\auth\vendor-login-richiamo.blade.php", "PHP", 17, 2, 2, 21
"c:\laragon\www\commerce-app\resources\views\auth\vendor-login-setepak.blade.php", "PHP", 7, 1, 1, 9
"c:\laragon\www\commerce-app\resources\views\auth\vendor-login-utm-mart.blade.php", "PHP", 7, 1, 1, 9
"c:\laragon\www\commerce-app\resources\views\auth\vendor-select.blade.php", "PHP", 6, 0, 1, 7
"c:\laragon\www\commerce-app\resources\views\components\chatbot.blade.php", "PHP", 893, 26, 144, 1063
"c:\laragon\www\commerce-app\resources\views\home.blade.php", "PHP", 3, 0, 1, 4
"c:\laragon\www\commerce-app\resources\views\orders.blade.php", "PHP", 6, 0, 0, 6
"c:\laragon\www\commerce-app\resources\views\vendor2\dashboard-caffe.blade.php", "PHP", 157, 1, 17, 175
"c:\laragon\www\commerce-app\resources\views\vendor2\products\edit.blade.php", "PHP", 144, 0, 21, 165
"c:\laragon\www\commerce-app\resources\views\vendor2\products\index.blade.php", "PHP", -8, 0, 1, -7
"c:\laragon\www\commerce-app\resources\views\vendor3\dashboard-setepak.blade.php", "PHP", 157, 1, 17, 175
"c:\laragon\www\commerce-app\resources\views\vendor3\products\create.blade.php", "PHP", 200, 3, 27, 230
"c:\laragon\www\commerce-app\resources\views\vendor3\products\edit.blade.php", "PHP", 144, 0, 21, 165
"c:\laragon\www\commerce-app\resources\views\vendor3\products\index.blade.php", "PHP", 7, 1, 3, 11
"c:\laragon\www\commerce-app\resources\views\vendor\dashboard-utm-mart.blade.php", "PHP", 168, 1, 18, 187
"c:\laragon\www\commerce-app\resources\views\vendor\products\edit.blade.php", "PHP", -39, 0, -5, -44
"c:\laragon\www\commerce-app\resources\views\vendor\products\index.blade.php", "PHP", -8, 0, 1, -7
"c:\laragon\www\commerce-app\routes\web.php", "PHP", -11, -16, -10, -37
"Total", "-", 6680, 103, 896, 7679