"filename", "language", "JavaScript", "PHP", "PostCSS", "Markdown", "JSON", "XML", "comment", "blank", "total"
"c:\laragon\www\commerce-app\README.md", "Markdown", 0, 0, 0, 45, 0, 0, 0, 22, 67
"c:\laragon\www\commerce-app\app\Console\Kernel.php", "PHP", 0, 15, 0, 0, 0, 0, 7, 6, 28
"c:\laragon\www\commerce-app\app\Exceptions\Handler.php", "PHP", 0, 17, 0, 0, 0, 0, 9, 5, 31
"c:\laragon\www\commerce-app\app\Http\Controllers\AdminController.php", "PHP", 0, 293, 0, 0, 0, 0, 22, 62, 377
"c:\laragon\www\commerce-app\app\Http\Controllers\AdminLoginController.php", "PHP", 0, 43, 0, 0, 0, 0, 5, 14, 62
"c:\laragon\www\commerce-app\app\Http\Controllers\Auth\ForgotPasswordController.php", "PHP", 0, 77, 0, 0, 0, 0, 4, 20, 101
"c:\laragon\www\commerce-app\app\Http\Controllers\Auth\LoginController.php", "PHP", 0, 30, 0, 0, 0, 0, 0, 8, 38
"c:\laragon\www\commerce-app\app\Http\Controllers\Auth\RegisterController.php", "PHP", 0, 27, 0, 0, 0, 0, 0, 7, 34
"c:\laragon\www\commerce-app\app\Http\Controllers\CartController.php", "PHP", 0, 159, 0, 0, 0, 0, 8, 24, 191
"c:\laragon\www\commerce-app\app\Http\Controllers\ChatbotController.php", "PHP", 0, 468, 0, 0, 0, 0, 13, 79, 560
"c:\laragon\www\commerce-app\app\Http\Controllers\CheckoutController.php", "PHP", 0, 122, 0, 0, 0, 0, 11, 25, 158
"c:\laragon\www\commerce-app\app\Http\Controllers\ComplaintController.php", "PHP", 0, 78, 0, 0, 0, 0, 5, 23, 106
"c:\laragon\www\commerce-app\app\Http\Controllers\Controller.php", "PHP", 0, 9, 0, 0, 0, 0, 0, 4, 13
"c:\laragon\www\commerce-app\app\Http\Controllers\OrderController.php", "PHP", 0, 21, 0, 0, 0, 0, 5, 9, 35
"c:\laragon\www\commerce-app\app\Http\Controllers\ProfileController.php", "PHP", 0, 26, 0, 0, 0, 0, 1, 9, 36
"c:\laragon\www\commerce-app\app\Http\Controllers\Vendor2DashboardController.php", "PHP", 0, 130, 0, 0, 0, 0, 2, 34, 166
"c:\laragon\www\commerce-app\app\Http\Controllers\Vendor2\DashboardController.php", "PHP", 0, 28, 0, 0, 0, 0, 0, 11, 39
"c:\laragon\www\commerce-app\app\Http\Controllers\Vendor3Controller.php", "PHP", 0, 93, 0, 0, 0, 0, 7, 21, 121
"c:\laragon\www\commerce-app\app\Http\Controllers\Vendor3DashboardController.php", "PHP", 0, 122, 0, 0, 0, 0, 1, 31, 154
"c:\laragon\www\commerce-app\app\Http\Controllers\VendorController.php", "PHP", 0, 337, 0, 0, 0, 0, 9, 80, 426
"c:\laragon\www\commerce-app\app\Http\Controllers\VendorDashboardController.php", "PHP", 0, 343, 0, 0, 0, 0, 11, 76, 430
"c:\laragon\www\commerce-app\app\Http\Controllers\VendorLoginController.php", "PHP", 0, 107, 0, 0, 0, 0, 3, 27, 137
"c:\laragon\www\commerce-app\app\Http\Controllers\VendorPasswordController.php", "PHP", 0, 93, 0, 0, 0, 0, 8, 30, 131
"c:\laragon\www\commerce-app\app\Http\Controllers\WishlistController.php", "PHP", 0, 114, 0, 0, 0, 0, 6, 16, 136
"c:\laragon\www\commerce-app\app\Http\Kernel.php", "PHP", 0, 43, 0, 0, 0, 0, 21, 7, 71
"c:\laragon\www\commerce-app\app\Http\Middleware\AdminMiddleware.php", "PHP", 0, 25, 0, 0, 0, 0, 4, 9, 38
"c:\laragon\www\commerce-app\app\Http\Middleware\Authenticate.php", "PHP", 0, 11, 0, 0, 0, 0, 3, 4, 18
"c:\laragon\www\commerce-app\app\Http\Middleware\EncryptCookies.php", "PHP", 0, 8, 0, 0, 0, 0, 6, 4, 18
"c:\laragon\www\commerce-app\app\Http\Middleware\PreventRequestsDuringMaintenance.php", "PHP", 0, 8, 0, 0, 0, 0, 6, 4, 18
"c:\laragon\www\commerce-app\app\Http\Middleware\RedirectIfAuthenticated.php", "PHP", 0, 20, 0, 0, 0, 0, 2, 5, 27
"c:\laragon\www\commerce-app\app\Http\Middleware\TrimStrings.php", "PHP", 0, 11, 0, 0, 0, 0, 5, 4, 20
"c:\laragon\www\commerce-app\app\Http\Middleware\TrustHosts.php", "PHP", 0, 12, 0, 0, 0, 0, 5, 4, 21
"c:\laragon\www\commerce-app\app\Http\Middleware\TrustProxies.php", "PHP", 0, 14, 0, 0, 0, 0, 10, 5, 29
"c:\laragon\www\commerce-app\app\Http\Middleware\ValidateSignature.php", "PHP", 0, 8, 0, 0, 0, 0, 11, 4, 23
"c:\laragon\www\commerce-app\app\Http\Middleware\VendorMiddleware.php", "PHP", 0, 22, 0, 0, 0, 0, 1, 8, 31
"c:\laragon\www\commerce-app\app\Http\Middleware\VerifyCsrfToken.php", "PHP", 0, 8, 0, 0, 0, 0, 6, 4, 18
"c:\laragon\www\commerce-app\app\Models\Admin.php", "PHP", 0, 21, 0, 0, 0, 0, 0, 7, 28
"c:\laragon\www\commerce-app\app\Models\Complaint.php", "PHP", 0, 31, 0, 0, 0, 0, 0, 8, 39
"c:\laragon\www\commerce-app\app\Models\Coupon.php", "PHP", 0, 7, 0, 0, 0, 0, 0, 4, 11
"c:\laragon\www\commerce-app\app\Models\Order.php", "PHP", 0, 14, 0, 0, 0, 0, 2, 6, 22
"c:\laragon\www\commerce-app\app\Models\Otp.php", "PHP", 0, 16, 0, 0, 0, 0, 0, 6, 22
"c:\laragon\www\commerce-app\app\Models\Product.php", "PHP", 0, 22, 0, 0, 0, 0, 1, 7, 30
"c:\laragon\www\commerce-app\app\Models\User.php", "PHP", 0, 26, 0, 0, 0, 0, 0, 8, 34
"c:\laragon\www\commerce-app\app\Models\Vendor.php", "PHP", 0, 17, 0, 0, 0, 0, 0, 5, 22
"c:\laragon\www\commerce-app\app\Models\VendorLogIn.php", "PHP", 0, 17, 0, 0, 0, 0, 0, 6, 23
"c:\laragon\www\commerce-app\app\Providers\AppServiceProvider.php", "PHP", 0, 12, 0, 0, 0, 0, 8, 5, 25
"c:\laragon\www\commerce-app\app\Providers\AuthServiceProvider.php", "PHP", 0, 11, 0, 0, 0, 0, 11, 5, 27
"c:\laragon\www\commerce-app\app\Providers\BroadcastServiceProvider.php", "PHP", 0, 12, 0, 0, 0, 0, 3, 5, 20
"c:\laragon\www\commerce-app\app\Providers\EventServiceProvider.php", "PHP", 0, 21, 0, 0, 0, 0, 12, 6, 39
"c:\laragon\www\commerce-app\app\Providers\RouteServiceProvider.php", "PHP", 0, 24, 0, 0, 0, 0, 10, 7, 41
"c:\laragon\www\commerce-app\bootstrap\app.php", "PHP", 0, 17, 0, 0, 0, 0, 30, 9, 56
"c:\laragon\www\commerce-app\composer.json", "JSON", 0, 0, 0, 0, 67, 0, 0, 1, 68
"c:\laragon\www\commerce-app\composer.lock", "JSON", 0, 0, 0, 0, 10618, 0, 0, 1, 10619
"c:\laragon\www\commerce-app\config\app.php", "PHP", 0, 27, 0, 0, 0, 0, 131, 31, 189
"c:\laragon\www\commerce-app\config\auth.php", "PHP", 0, 44, 0, 0, 0, 0, 74, 14, 132
"c:\laragon\www\commerce-app\config\broadcasting.php", "PHP", 0, 36, 0, 0, 0, 0, 23, 13, 72
"c:\laragon\www\commerce-app\config\cache.php", "PHP", 0, 59, 0, 0, 0, 0, 34, 19, 112
"c:\laragon\www\commerce-app\config\cors.php", "PHP", 0, 11, 0, 0, 0, 0, 12, 12, 35
"c:\laragon\www\commerce-app\config\database.php", "PHP", 0, 83, 0, 0, 0, 0, 47, 22, 152
"c:\laragon\www\commerce-app\config\filesystems.php", "PHP", 0, 32, 0, 0, 0, 0, 32, 13, 77
"c:\laragon\www\commerce-app\config\hashing.php", "PHP", 0, 14, 0, 0, 0, 0, 32, 9, 55
"c:\laragon\www\commerce-app\config\insights.php", "PHP", 0, 47, 0, 0, 0, 0, 75, 19, 141
"c:\laragon\www\commerce-app\config\logging.php", "PHP", 0, 79, 0, 0, 0, 0, 34, 19, 132
"c:\laragon\www\commerce-app\config\mail.php", "PHP", 0, 61, 0, 0, 0, 0, 54, 20, 135
"c:\laragon\www\commerce-app\config\queue.php", "PHP", 0, 51, 0, 0, 0, 0, 42, 17, 110
"c:\laragon\www\commerce-app\config\sanctum.php", "PHP", 0, 17, 0, 0, 0, 0, 53, 14, 84
"c:\laragon\www\commerce-app\config\services.php", "PHP", 0, 17, 0, 0, 0, 0, 11, 7, 35
"c:\laragon\www\commerce-app\config\session.php", "PHP", 0, 23, 0, 0, 0, 0, 157, 35, 215
"c:\laragon\www\commerce-app\config\view.php", "PHP", 0, 10, 0, 0, 0, 0, 20, 7, 37
"c:\laragon\www\commerce-app\database\factories\UserFactory.php", "PHP", 0, 25, 0, 0, 0, 0, 14, 6, 45
"c:\laragon\www\commerce-app\database\migrations\2014_10_12_000000_create_users_table.php", "PHP", 0, 28, 0, 0, 0, 0, 6, 3, 37
"c:\laragon\www\commerce-app\database\migrations\2014_10_12_100000_create_password_reset_tokens_table.php", "PHP", 0, 19, 0, 0, 0, 0, 6, 4, 29
"c:\laragon\www\commerce-app\database\migrations\2019_08_19_000000_create_failed_jobs_table.php", "PHP", 0, 23, 0, 0, 0, 0, 6, 4, 33
"c:\laragon\www\commerce-app\database\migrations\2019_12_14_000001_create_personal_access_tokens_table.php", "PHP", 0, 24, 0, 0, 0, 0, 6, 4, 34
"c:\laragon\www\commerce-app\database\migrations\2023_03_21_042848_create_vendors_table.php", "PHP", 0, 29, 0, 0, 0, 0, 6, 5, 40
"c:\laragon\www\commerce-app\database\migrations\2023_03_21_093706_create_products_table.php", "PHP", 0, 38, 0, 0, 0, 0, 6, 5, 49
"c:\laragon\www\commerce-app\database\migrations\2023_04_04_094057_create_coupons_table.php", "PHP", 0, 28, 0, 0, 0, 0, 6, 4, 38
"c:\laragon\www\commerce-app\database\migrations\2023_04_05_075356_create_user_addresses_table.php", "PHP", 0, 27, 0, 0, 0, 0, 6, 4, 37
"c:\laragon\www\commerce-app\database\migrations\2023_04_13_071626_create_orders_table.php", "PHP", 0, 34, 0, 0, 0, 0, 6, 4, 44
"c:\laragon\www\commerce-app\database\migrations\2023_04_13_073423_create_order_products_table.php", "PHP", 0, 26, 0, 0, 0, 0, 6, 5, 37
"c:\laragon\www\commerce-app\database\migrations\2023_04_27_093629_create_email_configurations_table.php", "PHP", 0, 24, 0, 0, 0, 0, 6, 5, 35
"c:\laragon\www\commerce-app\database\migrations\2023_04_27_otp_table.php", "PHP", 0, 21, 0, 0, 0, 0, 6, 4, 31
"c:\laragon\www\commerce-app\database\migrations\2023_04_28_create_admins_table.php", "PHP", 0, 20, 0, 0, 0, 0, 0, 4, 24
"c:\laragon\www\commerce-app\database\migrations\2023_04_30_041753_create_product_reviews_table.php", "PHP", 0, 24, 0, 0, 0, 0, 6, 5, 35
"c:\laragon\www\commerce-app\database\migrations\2024_01_01_000000_add_role_to_admins_table.php", "PHP", 0, 19, 0, 0, 0, 0, 0, 4, 23
"c:\laragon\www\commerce-app\database\migrations\2024_01_15_000000_add_name_to_admins_table.php", "PHP", 0, 23, 0, 0, 0, 0, 1, 4, 28
"c:\laragon\www\commerce-app\database\migrations\2024_01_15_000000_add_role_to_admins_table.php", "PHP", 0, 23, 0, 0, 0, 0, 1, 4, 28
"c:\laragon\www\commerce-app\database\migrations\2024_01_15_000000_create_complaints_table.php", "PHP", 0, 29, 0, 0, 0, 0, 0, 4, 33
"c:\laragon\www\commerce-app\database\migrations\2024_06_09_000000_create_vendor_log_in_table.php", "PHP", 0, 21, 0, 0, 0, 0, 0, 4, 25
"c:\laragon\www\commerce-app\database\migrations\2025_06_14_111349_add_email_and_notes_to_orders_table.php", "PHP", 0, 17, 0, 0, 0, 0, 8, 4, 29
"c:\laragon\www\commerce-app\database\migrations\2025_06_14_111509_add_email_and_notes_to_orders_table.php", "PHP", 0, 17, 0, 0, 0, 0, 8, 4, 29
"c:\laragon\www\commerce-app\database\migrations\2025_06_14_112134_add_email_notes_and_print_file_to_orders_table.php", "PHP", 0, 17, 0, 0, 0, 0, 8, 4, 29
"c:\laragon\www\commerce-app\database\migrations\[timestamp]_add_email_and_notes_to_orders_table.php", "PHP", 0, 21, 0, 0, 0, 0, 0, 4, 25
"c:\laragon\www\commerce-app\database\migrations\[timestamp]_add_email_notes_and_print_file_to_orders_table.php", "PHP", 0, 19, 0, 0, 0, 0, 0, 5, 24
"c:\laragon\www\commerce-app\database\seeders\AdminSeeder.php", "PHP", 0, 27, 0, 0, 0, 0, 2, 5, 34
"c:\laragon\www\commerce-app\database\seeders\DatabaseSeeder.php", "PHP", 0, 14, 0, 0, 0, 0, 10, 5, 29
"c:\laragon\www\commerce-app\database\seeders\ProductSeeder.php", "PHP", 0, 49, 0, 0, 0, 0, 0, 4, 53
"c:\laragon\www\commerce-app\database\seeders\RichiamoProductSeeder.php", "PHP", 0, 133, 0, 0, 0, 0, 4, 11, 148
"c:\laragon\www\commerce-app\database\seeders\SetepakProductsSeeder.php", "PHP", 0, 251, 0, 0, 0, 0, 3, 6, 260
"c:\laragon\www\commerce-app\database\seeders\VendorLogInSeeder.php", "PHP", 0, 23, 0, 0, 0, 0, 0, 6, 29
"c:\laragon\www\commerce-app\database\seeders\VendorSeeder.php", "PHP", 0, 61, 0, 0, 0, 0, 0, 4, 65
"c:\laragon\www\commerce-app\package.json", "JSON", 0, 0, 0, 0, 13, 0, 0, 1, 14
"c:\laragon\www\commerce-app\phpunit.xml", "XML", 0, 0, 0, 0, 0, 30, 2, 1, 33
"c:\laragon\www\commerce-app\public\index.php", "PHP", 0, 14, 0, 0, 0, 0, 30, 12, 56
"c:\laragon\www\commerce-app\resources\css\app.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\laragon\www\commerce-app\resources\js\app.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 1, 2
"c:\laragon\www\commerce-app\resources\js\bootstrap.js", "JavaScript", 3, 0, 0, 0, 0, 0, 23, 7, 33
"c:\laragon\www\commerce-app\resources\views\About-us.blade.php", "PHP", 0, 588, 0, 0, 0, 0, 5, 87, 680
"c:\laragon\www\commerce-app\resources\views\Check-out.blade.php", "PHP", 0, 522, 0, 0, 0, 0, 11, 59, 592
"c:\laragon\www\commerce-app\resources\views\Contact.blade.php", "PHP", 0, 536, 0, 0, 0, 0, 5, 80, 621
"c:\laragon\www\commerce-app\resources\views\Privacy-pol.blade.php", "PHP", 0, 484, 0, 0, 0, 0, 5, 69, 558
"c:\laragon\www\commerce-app\resources\views\Terms-con.blade.php", "PHP", 0, 525, 0, 0, 0, 0, 5, 77, 607
"c:\laragon\www\commerce-app\resources\views\Wishlist.blade.php", "PHP", 0, 270, 0, 0, 0, 0, 10, 25, 305
"c:\laragon\www\commerce-app\resources\views\admin\admins\create.blade.php", "PHP", 0, 196, 0, 0, 0, 0, 1, 12, 209
"c:\laragon\www\commerce-app\resources\views\admin\admins\edit.blade.php", "PHP", 0, 204, 0, 0, 0, 0, 1, 13, 218
"c:\laragon\www\commerce-app\resources\views\admin\admins\index.blade.php", "PHP", 0, 264, 0, 0, 0, 0, 1, 17, 282
"c:\laragon\www\commerce-app\resources\views\admin\analytics.blade.php", "PHP", 0, 317, 0, 0, 0, 0, 3, 26, 346
"c:\laragon\www\commerce-app\resources\views\admin\dashboard.blade.php", "PHP", 0, 449, 0, 0, 0, 0, 1, 56, 506
"c:\laragon\www\commerce-app\resources\views\admin\products\edit.blade.php", "PHP", 0, 442, 0, 0, 0, 0, 2, 54, 498
"c:\laragon\www\commerce-app\resources\views\admin\products\index.blade.php", "PHP", 0, 457, 0, 0, 0, 0, 8, 39, 504
"c:\laragon\www\commerce-app\resources\views\admin\users\create.blade.php", "PHP", 0, 180, 0, 0, 0, 0, 1, 11, 192
"c:\laragon\www\commerce-app\resources\views\admin\users\edit.blade.php", "PHP", 0, 279, 0, 0, 0, 0, 0, 30, 309
"c:\laragon\www\commerce-app\resources\views\admin\users\index.blade.php", "PHP", 0, 299, 0, 0, 0, 0, 1, 34, 334
"c:\laragon\www\commerce-app\resources\views\admin\vendors\index.blade.php", "PHP", 0, 418, 0, 0, 0, 0, 1, 49, 468
"c:\laragon\www\commerce-app\resources\views\auth\admin-login.blade.php", "PHP", 0, 251, 0, 0, 0, 0, 0, 32, 283
"c:\laragon\www\commerce-app\resources\views\auth\forgot-password.blade.php", "PHP", 0, 290, 0, 0, 0, 0, 0, 40, 330
"c:\laragon\www\commerce-app\resources\views\auth\login.blade.php", "PHP", 0, 329, 0, 0, 0, 0, 1, 39, 369
"c:\laragon\www\commerce-app\resources\views\auth\register.blade.php", "PHP", 0, 243, 0, 0, 0, 0, 4, 30, 277
"c:\laragon\www\commerce-app\resources\views\auth\reset-password.blade.php", "PHP", 0, 328, 0, 0, 0, 0, 7, 47, 382
"c:\laragon\www\commerce-app\resources\views\auth\vendor-login-richiamo.blade.php", "PHP", 0, 282, 0, 0, 0, 0, 2, 38, 322
"c:\laragon\www\commerce-app\resources\views\auth\vendor-login-setepak.blade.php", "PHP", 0, 273, 0, 0, 0, 0, 1, 37, 311
"c:\laragon\www\commerce-app\resources\views\auth\vendor-login-utm-mart.blade.php", "PHP", 0, 272, 0, 0, 0, 0, 1, 37, 310
"c:\laragon\www\commerce-app\resources\views\auth\vendor-login.blade.php", "PHP", 0, 313, 0, 0, 0, 0, 1, 41, 355
"c:\laragon\www\commerce-app\resources\views\auth\vendor-select.blade.php", "PHP", 0, 296, 0, 0, 0, 0, 0, 42, 338
"c:\laragon\www\commerce-app\resources\views\checkout-confirmation.blade.php", "PHP", 0, 293, 0, 0, 0, 0, 0, 41, 334
"c:\laragon\www\commerce-app\resources\views\complaints\index.blade.php", "PHP", 0, 356, 0, 0, 0, 0, 1, 45, 402
"c:\laragon\www\commerce-app\resources\views\complaints\my-complaints.blade.php", "PHP", 0, 369, 0, 0, 0, 0, 0, 43, 412
"c:\laragon\www\commerce-app\resources\views\components\chatbot.blade.php", "PHP", 0, 893, 0, 0, 0, 0, 26, 144, 1063
"c:\laragon\www\commerce-app\resources\views\home.blade.php", "PHP", 0, 811, 0, 0, 0, 0, 6, 117, 934
"c:\laragon\www\commerce-app\resources\views\layouts\app.blade.php", "PHP", 0, 871, 0, 0, 0, 0, 12, 120, 1003
"c:\laragon\www\commerce-app\resources\views\orders.blade.php", "PHP", 0, 390, 0, 0, 0, 0, 1, 21, 412
"c:\laragon\www\commerce-app\resources\views\profile.blade.php", "PHP", 0, 317, 0, 0, 0, 0, 2, 51, 370
"c:\laragon\www\commerce-app\resources\views\richiamo.blade.php", "PHP", 0, 341, 0, 0, 0, 0, 3, 14, 358
"c:\laragon\www\commerce-app\resources\views\vendor2\Check-out.blade.php", "PHP", 0, 506, 0, 0, 0, 0, 8, 57, 571
"c:\laragon\www\commerce-app\resources\views\vendor2\Wishlist.blade.php", "PHP", 0, 270, 0, 0, 0, 0, 10, 25, 305
"c:\laragon\www\commerce-app\resources\views\vendor2\checkout-confirmation.blade.php", "PHP", 0, 290, 0, 0, 0, 0, 0, 38, 328
"c:\laragon\www\commerce-app\resources\views\vendor2\dashboard-caffe.blade.php", "PHP", 0, 1042, 0, 0, 0, 0, 14, 59, 1115
"c:\laragon\www\commerce-app\resources\views\vendor2\index.blade.php", "PHP", 0, 1933, 0, 0, 0, 0, 14, 188, 2135
"c:\laragon\www\commerce-app\resources\views\vendor2\product-form.blade.php", "PHP", 0, 162, 0, 0, 0, 0, 4, 21, 187
"c:\laragon\www\commerce-app\resources\views\vendor2\products.blade.php", "PHP", 0, 152, 0, 0, 0, 0, 0, 14, 166
"c:\laragon\www\commerce-app\resources\views\vendor2\products\edit.blade.php", "PHP", 0, 144, 0, 0, 0, 0, 0, 21, 165
"c:\laragon\www\commerce-app\resources\views\vendor2\products\index.blade.php", "PHP", 0, 179, 0, 0, 0, 0, 0, 21, 200
"c:\laragon\www\commerce-app\resources\views\vendor3\Check-out.blade.php", "PHP", 0, 532, 0, 0, 0, 0, 2, 63, 597
"c:\laragon\www\commerce-app\resources\views\vendor3\Wishlist.blade.php", "PHP", 0, 270, 0, 0, 0, 0, 10, 25, 305
"c:\laragon\www\commerce-app\resources\views\vendor3\checkout-confirmation.blade.php", "PHP", 0, 296, 0, 0, 0, 0, 0, 39, 335
"c:\laragon\www\commerce-app\resources\views\vendor3\dashboard-setepak.blade.php", "PHP", 0, 1014, 0, 0, 0, 0, 13, 55, 1082
"c:\laragon\www\commerce-app\resources\views\vendor3\index.blade.php", "PHP", 0, 1364, 0, 0, 0, 0, 16, 164, 1544
"c:\laragon\www\commerce-app\resources\views\vendor3\product-form.blade.php", "PHP", 0, 162, 0, 0, 0, 0, 4, 21, 187
"c:\laragon\www\commerce-app\resources\views\vendor3\products.blade.php", "PHP", 0, 152, 0, 0, 0, 0, 0, 14, 166
"c:\laragon\www\commerce-app\resources\views\vendor3\products\create.blade.php", "PHP", 0, 200, 0, 0, 0, 0, 3, 27, 230
"c:\laragon\www\commerce-app\resources\views\vendor3\products\edit.blade.php", "PHP", 0, 144, 0, 0, 0, 0, 0, 21, 165
"c:\laragon\www\commerce-app\resources\views\vendor3\products\index.blade.php", "PHP", 0, 219, 0, 0, 0, 0, 1, 23, 243
"c:\laragon\www\commerce-app\resources\views\vendor\dashboard-utm-mart.blade.php", "PHP", 0, 1052, 0, 0, 0, 0, 14, 60, 1126
"c:\laragon\www\commerce-app\resources\views\vendor\index.blade.php", "PHP", 0, 869, 0, 0, 0, 0, 12, 120, 1001
"c:\laragon\www\commerce-app\resources\views\vendor\product-form.blade.php", "PHP", 0, 162, 0, 0, 0, 0, 4, 21, 187
"c:\laragon\www\commerce-app\resources\views\vendor\products.blade.php", "PHP", 0, 152, 0, 0, 0, 0, 0, 14, 166
"c:\laragon\www\commerce-app\resources\views\vendor\products\create.blade.php", "PHP", 0, 168, 0, 0, 0, 0, 0, 25, 193
"c:\laragon\www\commerce-app\resources\views\vendor\products\edit.blade.php", "PHP", 0, 144, 0, 0, 0, 0, 0, 21, 165
"c:\laragon\www\commerce-app\resources\views\vendor\products\index.blade.php", "PHP", 0, 179, 0, 0, 0, 0, 0, 21, 200
"c:\laragon\www\commerce-app\resources\views\welcome.blade.php", "PHP", 0, 111, 0, 0, 0, 0, 0, 23, 134
"c:\laragon\www\commerce-app\routes\api.php", "PHP", 0, 6, 0, 0, 0, 0, 10, 4, 20
"c:\laragon\www\commerce-app\routes\channels.php", "PHP", 0, 5, 0, 0, 0, 0, 10, 4, 19
"c:\laragon\www\commerce-app\routes\console.php", "PHP", 0, 6, 0, 0, 0, 0, 10, 4, 20
"c:\laragon\www\commerce-app\routes\web.php", "PHP", 0, 163, 0, 0, 0, 0, 37, 42, 242
"c:\laragon\www\commerce-app\tests\CreatesApplication.php", "PHP", 0, 13, 0, 0, 0, 0, 3, 6, 22
"c:\laragon\www\commerce-app\tests\Feature\ExampleTest.php", "PHP", 0, 11, 0, 0, 0, 0, 4, 5, 20
"c:\laragon\www\commerce-app\tests\TestCase.php", "PHP", 0, 7, 0, 0, 0, 0, 0, 4, 11
"c:\laragon\www\commerce-app\tests\Unit\ExampleTest.php", "PHP", 0, 10, 0, 0, 0, 0, 3, 4, 17
"c:\laragon\www\commerce-app\vendor\spatie\ignition\resources\compiled\ignition.css", "PostCSS", 0, 0, 1, 0, 0, 0, 2, 0, 3
"c:\laragon\www\commerce-app\vendor\spatie\ignition\resources\compiled\ignition.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 1, 7
"c:\laragon\www\commerce-app\vite.config.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 2, 12
"Total", "-", 20, 31026, 1, 45, 10698, 30, 1654, 4237, 47711